key,kn,type
Biswajit Daimary,ಬಿಸ್ವಜಿತ್ ಡೈಮರಿ,string
Biswajit Das,ಬಿಸ್ವಜಿತ್ ದಾಸ್,string
Biswajit Kundu,ಬಿಸ್ವಜಿತ್ ಕುಂದು,string
Biswajit Phukan,ಬಿಸ್ವಜಿತ್ ಫುಕನ್,string
Biswanath,ಬಿಸ್ವನಾಥ್,string
Biswanath Choudhury,ಬಿಸ್ವನಾಥ್ ಚೌಧರಿ,string
Biswanath Das,ಬಿಸ್ವನಾಥ ದಾಸ್,string
Biswanath Karak,ಬಿಸ್ವನಾಥ್ ಕಾರಕ್,string
Biswanath Parial,ಬಿಸ್ವನಾಥ್ ಪರಿಯಾಲ್,string
Bivas Sardar,ಬಿವಾಸ್ ಸರ್ದಾರ್,string
Bodinayakanur,ಬೋಡಿನಾಯಕನೂರ,string
Bokajan (ST),ಬೊಕಜನ್ (ಎಸ್‌ಟಿ),string
Bokakhat,ಬೊಕಾಖಾಟ್,string
Boko (SC),ಬೊಕೊ (ಎಸ್‌ಸಿ),string
Bolin Chetia,ಬೋಲಿನ್ ಚೆಟಿಯಾ,string
Bolpur,ಬೋಲ್ಪುರ್,string
Bongaigaon,ಬೊಂಗೈಗಾಂವ್,string
Brajamohan Mazumder,ಬ್ರಜಮೋಹನ್ ಮಜುಂದಾರ್,string
Bratya Basu,ಬ್ರಾತ್ಯಾ ಬಸು,string
Brindaban Goswami,ಬೃಂದಾಬನ್ ಗೋಸ್ವಾಮಿ,string
Budge Budge,ಬಡ್ಜ್ ಬಡ್ಜ್,string
Budhrai Tudu,ಬುಧರೈ ತುಡು,string
Bulu Chik Baraik,ಬುಲು ಚಿಕ್ ಬರೈಕ್,string
Burwan (SC),ಬರ್ವಾನ್ (ಎಸ್‌ಸಿ),string
C V Shanmugam,ಸಿ ವಿ ಷಣ್ಮುಗಂ,string
C. C. Mukundan,ಸಿ ಸಿ ಮುಕುಂದನ್,string
C. Divakaran,ಸಿ.ದಿವಾಕರನ್,string
C. Djeacoumar,ಸಿ. ಡಿಜೆಕೌಮರ್,string
C. F. Thomas,C. F. ಥಾಮಸ್,string
C. H. Kunhambu,ಸಿ.ಎಚ್.ಕುಂಞಂಬು,string
C. K. Asha,ಸಿ.ಕೆ.ಆಶಾ,string
C. K. Hareendrakumar,ಸಿ.ಕೆ.ಹರೀಂದ್ರಕುಮಾರ್,string
C. K. Hareendran,ಸಿ.ಕೆ.ಹರೀಂದ್ರನ್,string
C. K. Nanu,ಸಿ.ಕೆ ನಾಣು,string
C. K. Saseendran,ಸಿ.ಕೆ.ಸಸೀಂದ್ರನ್,string
C. Krishnamurali,ಸಿ.ಕೃಷ್ಣಮುರಳಿ,string
C. Krishnan,ಸಿ.ಕೃಷ್ಣನ್,string
C. Mahendran,ಸಿ ಮಹೇಂದ್ರನ್,string
C. Mammootty,ಸಿ.ಮಮ್ಮುಟ್ಟಿ,string
C. R. Mahesh,ಸಿ ಆರ್ ಮಹೇಶ್,string
C. Raveendranath,ಸಿ.ರವೀಂದ್ರನಾಥ್,string
C. Sivakumar,ಸಿ.ಶಿವಕುಮಾರ್,string
C. V. Ganesan,ಸಿ ವಿ ಗಣೇಶನ್,string
C. V. M. P. Ezhilarasan,C. V. M. P. ಎಜಿಲರಸನ್,string
C. Vijayabaskar,ಸಿ.ವಿಜಯಭಾಸ್ಕರ್,string
CHABUA-LAHOWAL,ಚಬುವಾ-ಲಹೋವಾಲ್,string
CHAMARIA,ಚಮಾರಿಯಾ,string
CHENGA,ಚೆಂಗಾ,string
CMP(A),CMP(A),string
CPI,ಸಿಪಿಐ,string
CPI(M),ಸಿಪಿಐ(ಎಂ),string
Cachar,ಕ್ಯಾಚಾರ್,string
Canning Paschim (SC),ಕ್ಯಾನಿಂಗ್ ಪಾಸ್ಚಿಮ್ (ಎಸ್‌ಸಿ),string
Canning Purba,ಕ್ಯಾನಿಂಗ್ ಪುರ್ಬಾ,string
Chabua,ಚಬುವಾ,string
Chadayamangalam,ಚಡಯಮಂಗಲಂ,string
Chakdaha,ಚಕ್ದಾಹ,string
Chakradhar Gogoi,ಚಕ್ರಧರ್ ಗೊಗೋಯ್,string
Chakrapani M,ಚಕ್ರಪಾಣಿ ಎಂ,string
Chakulia,ಚಾಕುಲಿಯಾ,string
Chalakudy,ಚಾಲಕುಡಿ,string
Champdani,ಚಂಪ್ದಾನಿ,string
Chanchal,ಚಂಚಲ್,string
Chandana Bauri,ಚಂದನ ಬೌರಿ,string
Chandana Sarkar,ಚಂದನ ಸರ್ಕಾರ್,string
Chandannagar,ಚಂದನನಗರ,string
Chandipur,ಚಂಡೀಪುರ,string
Chandira Priyanga,ಚಂದಿರ ಪ್ರಿಯಾಂಗ,string
Chanditala,ಚಂಡಿತಾಲ,string
Chandra Mohan Patowary,ಚಂದ್ರ ಮೋಹನ್ ಪಟೋವರಿ,string
Chandra Naresh Bauri,ಚಂದ್ರ ನರೇಶ್ ಬೌರಿ,string
Chandrakona (SC),ಚಂದ್ರಕೋಣ (ಎಸ್‌ಸಿ),string
Chandranath Sinha,ಚಂದ್ರನಾಥ್ ಸಿನ್ಹಾ,string
Chandrasekar R,ಚಂದ್ರಶೇಖರ್ ಆರ್,string
Chandrasekaran C,ಚಂದ್ರಶೇಖರನ್ ಸಿ,string
Chandrima Bhattacharya,ಚಂದ್ರಿಮಾ ಭಟ್ಟಾಚಾರ್ಯ,string
Changanassery,ಚಂಗನಾಶ್ಶೇರಿ,string
Chapaguri (ST),ಚಾಪಗುರಿ (ಎಸ್‌ಟಿ),string
Chapra,ಚಾಪ್ರಾ,string
Charaideo,ಚರೈಡಿಯೊ,string
Charan Boro,ಚರಣ್ ಬೋರೋ,string
Chathannoor,ಚತ್ತನ್ನೂರು,string
Chavara,ಚವರ,string
Chaygaon,ಚಾಯಗಾಂವ್,string
Chelakkara,ಚೇಲಕ್ಕರ,string
Chenga,ಚೆಂಗಾ,string
Chengalpattu,ಚೆಂಗಲ್ಪಟ್ಟು,string
Chengam (SC),ಚೆಂಗಮ್ (ಎಸ್‌ಸಿ),string
Chengannur,ಚೆಂಗನ್ನೂರು,string
Chennai,ಚೆನ್ನೈ,string
Chepauk-Thiruvallikeni,ಚೆಪಾಕ್-ತಿರುವಲ್ಲಿಕೇಣಿ,string
Cherthala,ಚೇರ್ತಾಲ,string
Cheyyar,ಚೆಯ್ಯರ್,string
Cheyyur (SC),ಚೆಯ್ಯೂರ್ (ಎಸ್‌ಸಿ),string
Chezhiaan.Govi,ಚೆಝಿಯಾನ್.ಗೋವಿ,string
Chhatna,ಛತ್ನಾ,string
Chhaya Dolai,ಛಾಯಾ ಡೋಲೈ,string
Chidambaram,ಚಿದಂಬರಂ,string
Chinmoy Deb Barman,ಚಿನ್ಮೊಯ್ ದೇಬ್ ಬರ್ಮನ್,string
Chinnaraj.O.K,ಚಿನ್ನರಾಜ್.ಒ.ಕೆ,string
Chinnathambi R M,ಚಿನ್ನತಂಬಿ ಆರ್ ಎಂ,string
Chirang,ಚಿರಾಂಗ್,string
Chiranjeet Chakrabarti,ಚಿರಂಜೀತ್ ಚಕ್ರವರ್ತಿ,string
Chiranjeet Chakraborty,ಚಿರಂಜೀತ್ ಚಕ್ರವರ್ತಿ,string
Chirayinkeezhu,ಚಿರಾಯಿಂಕೀಝು,string
Chitra.G,ಚಿತ್ರಾ.ಜಿ,string
Chittayam Gopakumar,ಚಿತ್ತಯಂ ಗೋಪಕುಮಾರ್,string
Chittur,ಚಿತ್ತೂರು,string
Chopra,ಚೋಪ್ರಾ,string
Chowrangee,ಚೌರಂಗೀ,string
Chunchura,ಚುಂಚೂರ,string
Churamani Mahata,ಚುರಮಣಿ ಮಹಾತಾ,string
Coimbatore,ಕೊಯಮತ್ತೂರು,string
Coimbatore (North),ಕೊಯಮತ್ತೂರು (ಉತ್ತರ),string
Coimbatore (South),ಕೊಯಮತ್ತೂರು (ದಕ್ಷಿಣ),string
Colachal,ಕೋಲಾಚಲ್,string
Con(S),ಕಾನ್(ಎಸ್),string
Congress (Secular),ಕಾಂಗ್ರೆಸ್ (ಜಾತ್ಯತೀತ),string
Cooch Behar Dakshin,ಕೂಚ್ ಬೆಹರ್ ದಕ್ಷಿಣ್,string
Cooch Behar Uttar,ಕೂಚ್ ಬೆಹರ್ ಉತ್ತರ,string
Coonoor,ಕೂನೂರು,string
Cuddalore,ಕಡಲೂರು,string
Cumbum,ಕುಂಬಮ್,string
D. Jayakumar,ಡಿ.ಜಯಕುಮಾರ್,string
D. K. Murali,ಡಿ ಕೆ ಮುರಳಿ,string
D. Mathiazhagan,ಡಿ. ಮಥಿಯಾಳಗನ್,string
DALGAON,ದಲ್ಗಾಂವ್,string
DEMOW,ಡೆಮೋವ್,string
DERGAON,ಡೆರ್ಗಾಂವ್,string
DHAKUAKHANA (ST),ಢಕುವಾಖಾನಾ (ಎಸ್‌ಟಿ),string
DHEKIAJULI,ದೇಕಿಯಾಜುಲಿ,string
DHEMAJI (ST),ಧೇಮಾಜಿ (ಎಸ್‌ಟಿ),string
DHING,DHING,string
DHOLAI (SC),ಧೋಲೈ (ಎಸ್‌ಸಿ),string
DHUBRI,ಧುಬ್ರಿ,string
DIBRUGRAH,ದಿಬ್ರುಗ್ರಾಹ್,string
DIGBOI,DIGBOI,string
DIMORIA (SC),ಡಿಮೋರಿಯಾ (ಎಸ್‌ಸಿ),string
DIPHU (ST),ದೀಪು (ಎಸ್‌ಟಿ),string
DISPUR,ಡಿಸ್ಪುರ,string
DMK,ಡಿಎಂಕೆ,string
DOOMDOOMA,ಡೂಮ್ಡೂಮಾ,string
DOTMA (ST),DOTMA (ಎಸ್‌ಟಿ),string
DUDHNAI (ST),ದುಧನೈ (ಎಸ್‌ಟಿ),string
DULIAJAN,ದುಲಿಯಾಜನ್,string
Dabgram-Phulbari,ದಬ್ಗ್ರಾಮ್-ಫುಲ್ಬರಿ,string
Dakshin Dinajpur,ದಕ್ಷಿಣ ದಿನಜಪುರ,string
Daleema Jojo,ದಲೀಮಾ ಜೋಜೊ,string
Dalgaon,ದಲ್ಗಾಂವ್,string
Dantan,ದಾಂತನ್,string
Darjeeling,ಡಾರ್ಜಿಲಿಂಗ್,string
Darjiling,ಡಾರ್ಜಿಲಿಂಗ್,string
Darrang,ದರ್ರಾಂಗ್,string
Daspur,ದಾಸ್ಪುರ್,string
Debabrata Majumdar,ದೇಬಬ್ರತಾ ಮಜುಂದಾರ್,string
Debabrata Saikia,ದೇಬಬ್ರತಾ ಸೈಕಿಯಾ,string
Debananda Hazarika,ದೇಬಾನಂದ ಹಜಾರಿಕಾ,string
Debasish Kumar,ದೇಬಶಿಶ್ ಕುಮಾರ್,string
Debasree Roy,ದೇಬಶ್ರೀ ರಾಯ್,string
Debendra Nath Roy,ದೇಬೇಂದ್ರ ನಾಥ್ ರಾಯ್,string
Debes Mondal,ಡೆಬೆಸ್ ಮೊಂಡಲ್,string
Debesh Mondal,ದೇಬೇಶ್ ಮೊಂಡಲ್,string
Debnath Hansda,ದೇಬನಾಥ್ ಹನ್ಸ್ದಾ,string
Deboprasad Bag,ದೇಬೋಪ್ರಸಾದ್ ಬ್ಯಾಗ್,string
Debra,ಡೆಬ್ರಾ,string
Deganga,ದೇಗಂಗಾ,string
Dergaon (SC),ದೇರ್ಗಾಂವ್ (ಎಸ್‌ಸಿ),string
Devikulam,ದೇವಿಕುಲಂ,string
Dha. Velu,ಧಾ. ವೇಲು,string
Dhakuakhana (ST),ಢಕುಖಾನಾ (ಎಸ್‌ಟಿ),string
Dhanapal P,ಧನಪಾಲ್ ಪಿ,string
Dhanekhali (SC),ಧನೇಖಲಿ (ಎಸ್‌ಸಿ),string
Dharapuram (SC),ಧಾರಾಪುರ (ಎಸ್‌ಸಿ),string
Dharmadom,ಧರ್ಮದೊಂ,string
Dharmapur,ಧರ್ಮಪುರ,string
Dharmapuri,ಧರ್ಮಪುರಿ,string
Dharmeswar Konwar,ಧರ್ಮೇಶ್ವರ ಕೊನ್ವಾರ್,string
Dhekiajuli,ದೆಕಿಯಾಜುಲಿ,string
Dhemaji,ಧೇಮಾಜಿ,string
Dhemaji (ST),ಧೇಮಾಜಿ (ಎಸ್‌ಟಿ),string
Dhiman Roy,ಧೀಮನ್ ರಾಯ್,string
Dhing,ಧಿಂಗ್,string
Dhirendra Nath Layek,ಧೀರೇಂದ್ರ ನಾಥ್ ಲಾಯೆಕ್,string
Dholai (SC),ಧೋಲೈ (ಎಸ್‌ಸಿ),string
Dhubri,ಧುಬ್ರಿ,string
Dhupguri (SC),ಧೂಪಗುರಿ (ಎಸ್‌ಸಿ),string
Diamond Harbour,ಡೈಮಂಡ್ ಹಾರ್ಬರ್,string
Dibakar Gharami,ದಿಬಾಕರ್ ಘರಾಮಿ,string
Dibrugarh,ದಿಬ್ರುಗಢ,string
Dibyendu Adhikari,ದಿಬ್ಯೇಂದು ಅಧಿಕಾರಿ,string
Diganta Barman,ದಿಗಂತ ಬರ್ಮನ್,string
Diganta Kalita,ದಿಗಂತ ಕಲಿತಾ,string
Digboi,ಡಿಗ್ಬೋಯ್,string
Dilip Ghosh,ದಿಲೀಪ್ ಘೋಷ್,string
Dilip Kumar Paul,ದಿಲೀಪ್ ಕುಮಾರ್ ಪಾಲ್,string
Dilip Mondal,ದಿಲೀಪ್ ಮೊಂಡಲ್,string
Dima Hasao,ದಿಮಾ ಹಸಾವೊ,string
Dimbeswar Das,ದಿಂಬೇಶ್ವರ ದಾಸ್,string
Dindigul,ದಿಂಡಿಗಲ್,string
Dindigul C. Sreenivaasan,ದಿಂಡಿಗಲ್ ಸಿ.ಶ್ರೀನಿವಾಸನ್,string
Dinen Roy,ದಿನೆನ್ ರಾಯ್,string
Dinhata,ದಿನ್ಹತಾ,string
Dipak Barman,ದೀಪಕ್ ಬರ್ಮನ್,string
Dipak Kumar Halder,ದೀಪಕ್ ಕುಮಾರ್ ಹಲ್ದರ್,string
Dipak Rabha,ದೀಪಕ್ ರಭಾ,string
Dipali Biswas,ದೀಪಾಲಿ ಬಿಸ್ವಾಸ್,string
Dipayan Chakraborty,ದೀಪಯನ್ ಚಕ್ರವರ್ತಿ,string
Dipendu Biswas,ದೀಪೇಂದು ಬಿಸ್ವಾಸ್,string
Diphu (ST),ದೀಪು (ಎಸ್‌ಟಿ),string
Dispur,ದಿಸ್ಪುರ್,string
Domjur,ದೊಮ್ಜೂರ್,string
Domkal,ಡೊಮ್ಕಲ್,string
Doomdooma,ಡೂಮ್ಡೂಮಾ,string
Doraikkannu R,ದೊರೈಕ್ಕಣ್ಣು ಆರ್,string
Dorsing Ronghang,ಡೋರ್ಸಿಂಗ್ ರೋಂಗ್ಹಾಂಗ್,string
Dr. Asif Mohammad Nazar,ಡಾ.ಆಸಿಫ್ ಮೊಹಮ್ಮದ್ ನಾಜರ್,string
Dr. C.K. Saraswathi,ಡಾ.ಸಿ.ಕೆ. ಸರಸ್ವತಿ,string
Dr. M. H. Jawahirullah,ಡಾ.ಎಂ.ಎಚ್.ಜವಾಹಿರುಲ್ಲಾ,string
Dr. M. Manikandan,ಡಾ.ಎಂ.ಮಣಿಕಂದನ್,string
Dr. Motiur Rohman Mondal,ಡಾ. ಮೋತಿಯುರ್ ರೋಹ್ಮನ್ ಮೊಂಡಲ್,string
Dr. Nirmal Maji,ಡಾ.ನಿರ್ಮಲ್ ಮಜಿ,string
Dr. Poongothai Aladi Aruna,ಡಾ.ಪೂಂಗೋತಾಯಿ ಅಲಾಡಿ ಅರುಣ,string
Dr. Radhakrishnan Nagar,ಡಾ. ರಾಧಾಕೃಷ್ಣನ್ ನಗರ,string
Dr. S. Muthiah,ಡಾ.ಎಸ್.ಮುತ್ತಯ್ಯ,string
Dr. T. R. B. Rajaa,ಡಾ. ಟಿ.ಆರ್. ಬಿ. ರಾಜಾ,string
Dr. T. Sadhan Tirumalaikumar,ಡಾ.ಟಿ.ಸಧನ್ ತಿರುಮಲೈಕುಮಾರ್,string
Dr. V. Muthuraja,ಡಾ.ವಿ.ಮುತ್ತುರಾಜ,string
Dr. V. Ramachandran,ಡಾ.ವಿ.ರಾಮಚಂದ್ರನ್,string
Dubrajpur (SC),ದುಬ್ರಾಜಪುರ (ಎಸ್‌ಸಿ),string
Dudhnai (ST),ದುಧನೈ (ಎಸ್‌ಟಿ),string
Dulal Chandra Bar,ದುಲಾಲ್ ಚಂದ್ರ ಬಾರ್,string
Dulal Chandra Das,ದುಲಾಲ್ ಚಂದ್ರ ದಾಸ್,string
Dulal Murmu,ದುಲಾಲ್ ಮುರ್ಮು,string
Duliajan,ದುಲಿಯಾಜನ್,string
Dum Dum,ದಮ್ ದಮ್,string
Dum Dum Uttar,ದಮ್ ದಮ್ ಉತ್ತರ,string
Durai Chandrasekar,ದುರೈ ಚಂದ್ರಶೇಖರ್,string
Durai Chandrasekaran,ದುರೈ ಚಂದ್ರಶೇಖರನ್,string
Durai Murugan,ದುರೈ ಮುರುಗನ್,string
Durai.Chandrasekaran,ದುರೈ.ಚಂದ್ರಶೇಖರನ್,string
Durga Bhumij,ದುರ್ಗಾ ಭೂಮಿಜ್,string
Durga Das Boro,ದುರ್ಗಾ ದಾಸ್ ಬೋರೋ,string
Durga Murmu,ದುರ್ಗಾ ಮುರ್ಮು,string
Durgapur Paschim,ದುರ್ಗಾಪುರ ಪಶ್ಚಿಮ,string
Durgapur Purba,ದುರ್ಗಾಪುರ ಪುರ್ಬಾ,string
E. Balasubramanian,ಇ.ಬಾಲಸುಬ್ರಮಣಿಯನ್,string
E. Chandrasekharan,ಇ.ಚಂದ್ರಶೇಖರನ್,string
E. K. Vijayan,ಇ.ಕೆ.ವಿಜಯನ್,string
E. M. Manraj,ಇ.ಎಂ.ಮನರಾಜ್,string
E. M. R. Raja,ಇ ಎಂ ಆರ್ ರಾಜಾ,string
E. P. Jayarajan,ಇ.ಪಿ.ಜಯರಾಜನ್,string
E. R. Eswaran,ಇ.ಆರ್. ಈಶ್ವರನ್,string
E. Raja,ಇ.ರಾಜ,string
E. S. Bijimol,ಇ.ಎಸ್.ಬಿಜಿಮೋಳ್,string
E. Subaya,E. ಸುಬಯ,string
E. T. Taison,ಇ.ಟಿ. ಟೈಸನ್,string
E. T. Taison Master,E. T. ಟೈಸನ್ ಮಾಸ್ಟರ್,string
E. Theeppainthan,ಇ.ತೀಪ್ಪೈಂಥನ್,string
E. V. Velu,ಇ.ವಿ.ವೇಲು,string
Edappadi,ಎಡಪ್ಪಾಡಿ,string
Edappadi K. Palaniswami,ಎಡಪ್ಪಾಡಿ ಕೆ.ಪಳನಿಸ್ವಾಮಿ,string
Egmore (SC),ಎಗ್ಮೋರ್ (ಎಸ್‌ಸಿ),string
Egra,ಎಗ್ರಾ,string
Elathur,ಎಲತ್ತೂರು,string
Eldho Abraham,ಎಲ್ದೋ ಅಬ್ರಹಾಂ,string
Eldhose Kunnappilly,ಎಲ್ದೋಸ್ ಕುನ್ನಪ್ಪಿಳ್ಳಿ,string
Emani Biswas,ಎಮಾನಿ ಬಿಸ್ವಾಸ್,string
Embalam (SC),ಎಂಬಾಲಂ (ಎಸ್‌ಸಿ),string
Embalam R. Selvam,ಎಂಬಾಲಂ ಆರ್. ಸೆಲ್ವಂ,string
Emmanuel Mosahary,ಇಮ್ಯಾನುಯೆಲ್ ಮೊಸಹರಿ,string
English Bazar,ಇಂಗ್ಲೀಷ್ ಬಜಾರ್,string
Entally,ಎಂಟಲಿ,string
Eranad,ಎರನಾಡ್,string
Eravipuram,ಎರವಿಪುರಂ,string
Ernakulam,ಎರ್ನಾಕುಲಂ,string
Erode,ಈರೋಡ್,string
Erode (East),ಈರೋಡ್ (ಪೂರ್ವ),string
Erode (West),ಈರೋಡ್ (ಪಶ್ಚಿಮ),string
Eswaran.S,ಈಶ್ವರನ್.ಎಸ್,string
Eswarappan J L,ಈಶ್ವರಪ್ಪನ್ ಜೆ ಎಲ್,string
Ettumanoor,ಎಟ್ಟುಮನೂರು,string
Ezhilan Naganathan,ಎಜಿಲನ್ ನಾಗನಾಥನ್,string
Falakata (SC),ಫಲಕಟಾ (ಎಸ್‌ಸಿ),string
Falta,ಫಾಲ್ಟಾ,string
Farakka,ಫರಕ್ಕಾ,string
Fazal Karim Miah,ಫಜಲ್ ಕರೀಂ ಮಿಯಾ,string
Firdousi Begum,ಫಿರ್ದೌಸಿ ಬೇಗಂ,string
Firhad Hakim,ಫಿರ್ಹಾದ್ ಹಕೀಮ್,string
Firoja Bibi,ಫಿರೋಜಾ ಬೀಬಿ,string
Firoza Begam,ಫಿರೋಜಾ ಬೇಗಂ,string
G Sendhil Kumar,ಜಿ ಸೆಂಧಿಲ್ ಕುಮಾರ್,string
G. Anbalagan,ಜಿ.ಅನ್ಬಳಗನ್,string
G. Arunkumar,ಜಿ.ಅರುಣಕುಮಾರ್,string
G. Chitra,ಜಿ. ಚಿತ್ರಾ,string
G. Iyappan,ಜಿ. ಐಯಪ್ಪನ್,string
G. K. Mani,ಜಿ ಕೆ ಮಣಿ,string
G. Nehru Kuppusamy,ಜಿ. ನೆಹರು ಕುಪ್ಪುಸಾಮಿ,string
G. R. Anil,ಜಿ ಆರ್ ಅನಿಲ್,string
G. S. Jayalal,ಜಿ ಎಸ್ ಜಯಲಾಲ್,string
G. Stephen,ಜಿ. ಸ್ಟೀಫನ್,string
G. Sudhakaran,ಜಿ.ಸುಧಾಕರನ್,string
G. Thalapathi,ಜಿ.ದಳಪತಿ,string
G. V. Markandayan,ಜಿ.ವಿ.ಮಾರ್ಕಂಡಯ್ಯನವರು,string
GAURIPUR,ಗೌರಿಪುರ,string
GJM,GJM,string
GOALPARA EAST,ಗೋಲ್ಪಾರಾ ಪೂರ್ವ,string
GOALPARA WEST (ST),ಗೋಲ್ಪಾರಾ ಪಶ್ಚಿಮ (ಎಸ್‌ಟಿ),string
GOHPUR,ಗೋಹಪುರ,string
GOLAGHAT,ಗೊಲಾಘಾಟ್,string
GOLAKGANJ,ಗೋಲಕ್ಗಂಜ್,string
GORESWAR,ಗೋರೇಶ್ವರ,string
GOSSAIGAON,ಗೊಸ್ಸೈಗಾಂವ್,string
GUWAHATI CENTRAL,ಗುವಾಹಟಿ ಸೆಂಟ್ರಲ್,string
Gaighata (SC),ಗೈಘಾಟ (ಎಸ್‌ಸಿ),string
Galsi (SC),ಗಲ್ಸಿ (ಎಸ್‌ಸಿ),string
Gandarvakottai,ಗಂಧರ್ವಕೋಟ್ಟೈ,string
Gandhi. R,ಗಾಂಧಿ. ಆರ್,string
Ganesan V,ಗಣೇಶನ್ ವಿ,string
Ganesh Chandra Mondal,ಗಣೇಶ್ ಚಂದ್ರ ಮಂಡಲ್,string
Ganesh Kumar Limbu,ಗಣೇಶ್ ಕುಮಾರ್ ಲಿಂಬು,string
Ganesh. R.,ಗಣೇಶ್. ಆರ್.,string
Gangarampur (SC),ಗಂಗಾರಾಮಪುರ (ಎಸ್‌ಸಿ),string
Gangavalli (SC),ಗಂಗವಲ್ಲಿ (ಎಸ್‌ಸಿ),string
Garbeta,ಗಾರ್ಬೆಟಾ,string
Gauhati East,ಗೌಹಾಟಿ ಪೂರ್ವ,string
Gauhati West,ಗೌಹಾಟಿ ಪಶ್ಚಿಮ,string
Gauripur,ಗೌರಿಪುರ,string
Gautam Chowdhuri,ಗೌತಮ್ ಚೌಧುರಿ,string
Gazole (SC),ಗಜೋಲ್ (ಎಸ್‌ಸಿ),string
Geetha . M.,ಗೀತಾ. ಎಂ.,string
Geetha Gopi,ಗೀತಾ ಗೋಪಿ,string
Geetha Jeevan. P,ಗೀತಾ ಜೀವನ. ಪಿ,string
George M. Thomas,ಜಾರ್ಜ್ ಎಂ. ಥಾಮಸ್,string
Ghatal (SC),ಘಟಲ್ (ಎಸ್‌ಸಿ),string
Giasuddin Molla,ಗಿಯಾಸುದ್ದೀನ್ ಮೊಲ್ಲಾ,string
Gingee,ಜಿಂಗೀ,string
Giri .M.P,ಗಿರಿ .ಎಂ.ಪಿ,string
Goalpara,ಗೋಲ್ಪಾರಾ,string
Goalpara East,ಗೋಲ್ಪಾರಾ ಪೂರ್ವ,string
Goalpara West,ಗೋಲ್ಪಾರಾ ಪಶ್ಚಿಮ,string
Goalpokhar,ಗೋಲ್ಪೋಖರ್,string
Gobichettipalayam,ಗೋಬಿಚೆಟ್ಟಿಪಾಳ್ಯಂ,string
Gobinda Chandra Basumatary,ಗೋಬಿಂದ ಚಂದ್ರ ಬಾಸುಮತರಿ,string
Gobinda Chandra Naskar,ಗೋಬಿಂದ ಚಂದ್ರ ನಾಸ್ಕರ್,string
Goghat (SC),ಗೋಘಾಟ್ (ಎಸ್‌ಸಿ),string
Gohpur,ಗೋಹ್ಪುರ್,string
Golaghat,ಗೋಲಾಘಾಟ್,string
Golakganj,ಗೋಲಕ್ಗಂಜ್,string
Gollapalli Srinivas Ashok,ಗೊಲ್ಲಪಲ್ಲಿ ಶ್ರೀನಿವಾಸ್ ಅಶೋಕ್,string
Gopal Chandra Saha,ಗೋಪಾಲ ಚಂದ್ರ ಸಹಾ,string
Gopiballavpur,ಗೋಪಿಬಲ್ಲವಪುರ,string
Gosaba (SC),ಗೋಸಾಬ (ಎಸ್‌ಸಿ),string
Gossaigaon,ಗೊಸಾಯಿಗಾಂವ್,string
Gouri Sankar Dutta,ಗೌರಿ ಶಂಕರ್ ದತ್ತಾ,string
Gouri Shankar Ghosh,ಗೌರಿ ಶಂಕರ್ ಘೋಷ್,string
Goutam Das,ಗೌತಮ್ ದಾಸ್,string
Goutam Deb,ಗೌತಮ್ ದೇಬ್,string
Goutam Paul,ಗೌತಮ್ ಪಾಲ್,string
Govi. Chezhiyan,ಗೋವಿ ಚೆಝಿಯಾನ್,string
Govindarasu M,ಗೋವಿಂದರಸು ಎಂ,string
Gudalur (SC),ಗುಡಲೂರು (ಎಸ್‌ಸಿ),string
Gudiyattam (SC),ಗುಡಿಯಾಟ್ಟಂ (ಎಸ್‌ಸಿ),string
Gulsan Mullick,ಗುಲ್ಸನ್ ಮುಲ್ಲಿಕ್,string
Gummidipoondi,ಗುಮ್ಮಿಡಿಪೂಂಡಿ,string
Gunasekaran S,ಗುಣಶೇಖರನ್ ಎಸ್,string
Gunindra Nath Das,ಗುಣೀಂದ್ರ ನಾಥ ದಾಸ್,string
Gurupada Mete,ಗುರುಪಾದ ಮೇಟೆ,string
Guruvayur,ಗುರುವಾಯೂರ್,string
H. Salam,ಎಚ್ ಸಲಾಂ,string
H. Vasanthakumar,ಎಚ್.ವಸಂತಕುಮಾರ್,string
HAFLONG (ST),ಹ್ಯಾಫ್ಲಾಂಗ್ (ಎಸ್‌ಟಿ),string
HAILAKANDI,ಹೈಲಕಂಡಿ,string
HAJO-SUALKUCHI (SC),ಹಾಜೋ-ಸುಲ್ಕುಚಿ (ಎಸ್‌ಸಿ),string
HOJAI,ಹೋಜೈ,string
HOWARGHAT (ST),ಹೋವರ್ಘಾಟ್ (ಎಸ್‌ಟಿ),string
Habibpur (ST),ಹಬೀಬ್ಪುರ್ (ಎಸ್‌ಟಿ),string
Habra,ಹಬ್ರಾ,string
Hafiz Bashir Ahmed,ಹಫೀಜ್ ಬಶೀರ್ ಅಹಮದ್,string
Haflong (ST),ಹ್ಯಾಫ್ಲಾಂಗ್ (ಎಸ್‌ಟಿ),string
Haider Aziz Safwi,ಹೈದರ್ ಅಜೀಜ್ ಸಫ್ವಿ,string
Hailakandi,ಹೈಲಕಂಡಿ,string
Haji Nurul Islam,ಹಾಜಿ ನೂರುಲ್ ಇಸ್ಲಾಂ,string
Hajo,ಹಾಜೋ,string
Haldia (SC),ಹಲ್ದಿಯಾ (ಎಸ್‌ಸಿ),string
Hamidul Rahaman,ಹಮೀದುಲ್ ರಹಮಾನ್,string
